Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,325.402008,335.042999,322.877014,333.207001,321.321930,2414849
2015-01-02,334.032990,336.971008,332.381012,335.181000,323.225525,2744362
2015-01-05,336.282990,336.282990,326.503998,327.743988,316.053802,1575684
2015-01-06,326.963013,326.963013,319.893005,325.173004,313.574524,3844762
2015-01-07,323.153015,328.708008,321.821991,325.953003,314.326721,4809028
2015-01-08,327.376007,333.252991,324.255005,331.600006,319.772278,6965837
2015-01-09,332.839996,335.042999,324.989014,326.687988,315.035492,3761166
2015-01-12,326.596008,326.596008,318.700012,320.398010,308.969849,2235013
2015-01-13,321.270996,323.473999,316.128998,317.964996,306.623657,1574610
2015-01-14,318.562012,319.709991,316.450012,317.506012,306.181000,3352274
2015-01-15,317.782013,323.750000,315.210999,320.765991,309.324707,4874529
2015-01-16,318.608002,323.199005,311.354004,314.796997,303.568604,9598945
2015-01-19,315.761993,323.473999,313.924988,321.776001,310.298706,3322746
2015-01-20,321.776001,327.790009,319.571991,325.862000,314.238922,2837762
2015-01-21,325.953003,339.726013,325.493988,338.808014,326.723206,4959708
2015-01-22,342.802002,343.352997,331.600006,339.726013,327.608429,2456719
2015-01-23,342.434998,356.023987,341.562012,352.671997,340.092682,6153896
2015-01-27,351.386993,362.679993,350.377014,361.946014,349.035889,5171460
2015-01-28,361.487000,363.322998,341.195007,343.031006,330.795563,4407806
2015-01-29,344.132996,349.367004,333.345001,345.050995,332.743500,7403177
2015-01-30,349.641998,349.641998,336.191010,343.122986,330.884216,5309455
2015-02-02,339.726013,342.802002,327.330994,329.901001,318.133911,4080638
2015-02-03,330.682007,343.398987,330.635986,341.148987,328.980652,4164187
2015-02-04,344.316986,346.428986,335.135010,338.761993,326.678802,5433026
2015-02-05,339.726013,341.471008,330.589996,334.859985,322.915985,8107064
2015-02-06,335.042999,339.726013,329.626007,338.118988,326.058746,3257831
2015-02-09,335.135010,335.778015,324.346008,326.963013,315.300690,2974415
2015-02-10,326.229004,332.196991,324.117004,327.009003,315.345032,6721098
2015-02-11,327.743988,331.140991,319.526001,326.963013,315.300690,3425126
2015-02-12,329.626007,330.406006,320.720001,323.842010,312.291046,4281562
2015-02-13,324.851990,327.330994,320.720001,325.953003,314.326721,3315520
2015-02-16,324.117004,335.548004,323.199005,331.783997,319.949707,2312417
2015-02-18,333.345001,333.803986,321.821991,323.199005,311.670929,3345950
2015-02-19,325.907013,329.075012,321.545990,327.514008,315.832031,3000921
2015-02-20,325.953003,329.441986,319.756012,320.765991,309.324707,3997091
2015-02-23,319.526001,322.188995,316.954987,318.882996,307.508850,2366378
2015-02-24,317.782013,321.225006,312.272003,314.062988,302.860809,7254728
2015-02-25,318.515991,321.821991,316.450012,320.076996,308.660278,2829561
2015-02-26,321.362000,323.750000,317.919006,320.765991,309.324707,4487591
2015-02-27,320.444000,328.799988,318.928986,326.136993,314.504120,3642720
2015-02-28,null,null,null,null,null,null
2015-03-02,327.147003,333.299011,317.230988,320.489990,309.058563,4534701
2015-03-03,321.362000,321.912994,315.578003,320.674011,309.235992,2251216
